open_ports_count,has_control_port,has_telemetry_port,has_video_port,has_mavlink,has_unknown_protocol,wifi_security_level,ping_loss,avg_latency_ms,diag_success,label
2,1,1,0,0,0,1,6.4,67.8,1,Suspicious
1,0,1,0,0,0,2,2.4,58.3,1,Normal
1,1,0,0,1,0,1,5.4,51.9,1,Suspicious
1,0,1,0,1,0,2,25.1,146.1,1,Suspicious
1,0,1,0,0,1,1,3.6,54.9,1,Normal
1,0,0,1,1,1,1,69.0,253.6,0,Attack
4,1,1,1,0,1,2,1.2,59.5,1,Suspicious
3,0,1,1,0,0,2,1.6,34.3,1,Normal
3,1,1,1,0,0,1,1.4,64.9,1,Suspicious
1,0,1,0,0,0,0,3.7,52.9,1,Suspicious
2,1,0,1,0,0,2,5.9,29.1,1,Normal
2,1,1,0,1,0,2,5.7,76.9,1,Suspicious
3,1,1,1,0,0,2,3.0,72.9,1,Suspicious
1,1,0,0,0,0,1,4.1,55.1,1,Suspicious
2,0,1,1,0,0,2,7.4,67.6,1,Normal
1,0,1,0,0,0,2,7.9,21.9,1,Normal
2,1,1,0,0,0,2,14.2,155.2,1,Suspicious
2,0,1,1,1,0,2,5.3,76.4,1,Suspicious
2,0,1,1,1,0,2,4.2,69.5,1,Suspicious
0,0,0,0,0,0,2,2.9,71.3,1,Normal
4,1,1,0,0,0,2,7.9,47.3,1,Normal
2,1,1,0,0,1,2,4.5,31.7,1,Suspicious
2,0,1,0,1,0,2,3.8,57.7,1,Normal
3,1,1,0,1,0,2,3.4,44.0,1,Suspicious
3,1,1,0,0,0,0,4.1,60.5,1,Suspicious
5,1,1,0,0,0,1,4.9,72.5,1,Suspicious
3,1,1,1,1,0,2,52.4,581.4,0,Attack
2,1,0,0,1,0,2,0.3,59.4,1,Suspicious
2,1,1,0,0,0,1,79.2,371.0,0,Attack
2,0,1,0,0,0,1,1.9,48.3,1,Normal
1,0,1,0,1,0,2,6.2,71.2,1,Normal
2,1,0,1,1,1,2,4.3,55.5,1,Suspicious
1,1,0,0,1,1,2,24.6,150.7,1,Suspicious
1,0,0,1,0,0,2,0.7,34.0,1,Normal
1,1,0,0,1,0,2,3.4,36.5,1,Suspicious
3,1,1,1,1,0,0,7.1,30.3,1,Attack
4,1,1,1,0,0,2,0.6,38.7,1,Suspicious
4,1,1,1,0,0,0,68.3,266.7,0,Attack
1,0,0,1,0,0,2,5.8,50.6,1,Normal
2,0,1,1,0,0,2,3.0,42.5,1,Normal
2,0,1,1,0,1,1,1.7,55.0,1,Suspicious
2,0,1,1,0,1,2,0.1,44.7,1,Normal
0,0,0,0,0,0,2,7.2,38.3,1,Normal
3,1,1,0,0,0,2,3.7,27.0,1,Normal
3,1,1,0,0,1,2,2.1,46.2,1,Suspicious
2,0,1,0,0,1,2,7.0,73.2,1,Normal
2,1,0,1,0,1,2,0.1,71.8,1,Suspicious
4,1,1,1,1,0,1,4.1,45.1,1,Attack
3,1,1,1,0,0,1,1.6,47.7,1,Suspicious
2,1,1,0,0,0,2,3.8,21.2,1,Normal
2,1,0,1,1,0,2,0.3,51.6,1,Suspicious
1,1,0,0,0,0,0,0.2,39.7,1,Suspicious
2,1,0,1,0,0,1,1.9,27.4,1,Suspicious
2,1,1,0,0,0,2,6.0,27.4,1,Normal
3,1,1,1,1,0,2,1.0,51.9,1,Suspicious
2,0,1,1,0,1,0,72.5,456.3,0,Attack
2,1,0,1,1,1,2,0.1,58.0,1,Suspicious
3,0,1,0,0,1,1,0.7,25.8,1,Normal
3,1,1,0,0,1,0,2.0,61.2,1,Attack
3,1,1,0,1,0,2,5.6,47.9,1,Suspicious
3,1,1,0,1,0,0,0.0,58.2,1,Attack
2,1,1,0,1,0,1,2.9,76.1,1,Attack
1,0,0,1,0,0,2,15.1,109.8,1,Normal
2,1,0,1,0,0,1,21.4,156.6,1,Attack
2,0,1,1,0,1,2,2.7,39.2,1,Normal
2,1,1,0,1,0,1,8.7,199.7,1,Attack
0,0,0,0,1,0,2,0.8,44.9,1,Normal
2,0,1,1,1,0,2,9.4,121.2,1,Suspicious
2,1,1,0,0,0,2,77.5,761.0,0,Attack
2,1,0,0,0,0,2,6.5,49.5,1,Normal
3,1,1,0,0,0,1,45.9,669.6,0,Attack
2,0,1,1,1,0,0,17.5,188.5,1,Attack
1,0,1,0,1,0,2,3.4,76.6,1,Normal
2,1,1,0,1,0,2,15.9,194.5,1,Suspicious
2,1,1,0,1,0,2,29.4,141.2,1,Suspicious
3,0,1,1,0,1,0,7.3,42.3,1,Suspicious
3,0,1,1,0,1,1,1.5,59.9,1,Suspicious
2,1,1,0,0,0,2,0.1,48.9,1,Normal
2,0,1,0,0,1,2,2.5,43.3,1,Normal
4,1,1,1,0,0,2,4.7,35.0,1,Suspicious
1,1,0,0,0,1,2,1.3,70.5,1,Normal
3,0,1,1,1,1,2,1.2,51.9,1,Suspicious
3,1,1,1,0,1,0,1.2,63.6,1,Attack
3,1,1,0,1,1,1,5.4,77.7,1,Attack
0,0,0,0,0,0,2,1.4,34.3,1,Normal
3,1,1,0,0,0,2,0.8,31.5,1,Normal
2,0,1,0,0,0,2,11.3,151.7,1,Normal
3,0,1,1,0,0,1,3.9,41.0,1,Suspicious
3,0,1,1,0,0,2,3.9,39.9,1,Normal
2,0,1,1,0,0,2,2.2,49.7,1,Normal
0,0,0,0,0,1,2,22.5,157.7,1,Suspicious
2,0,1,1,0,1,0,6.3,57.8,1,Suspicious
5,1,1,1,1,0,2,7.4,33.0,1,Suspicious
2,1,1,0,0,1,2,3.7,63.4,1,Suspicious
1,0,1,0,0,0,0,0.4,41.1,1,Suspicious
4,1,1,1,0,1,1,1.6,36.3,1,Attack
5,1,1,1,0,0,0,7.2,54.7,1,Attack
1,0,1,0,1,0,1,3.5,36.6,1,Suspicious
2,0,1,0,0,0,2,2.0,58.3,1,Normal
3,0,1,1,0,0,2,40.3,715.4,0,Suspicious
3,1,1,1,0,0,2,15.5,133.4,1,Suspicious
2,1,1,0,0,0,1,6.4,60.7,1,Suspicious
1,0,1,0,0,1,2,4.5,61.0,1,Normal
0,0,0,0,0,1,2,2.5,70.7,1,Normal
3,1,0,1,1,0,2,4.2,66.3,1,Suspicious
1,0,1,0,0,0,2,18.1,193.8,1,Normal
5,1,1,1,0,1,1,2.5,63.8,1,Attack
1,0,1,0,0,0,1,7.8,53.2,1,Normal
0,0,0,0,0,0,2,5.8,70.4,1,Normal
2,1,1,0,0,1,2,4.4,49.2,1,Suspicious
2,1,1,0,1,1,2,3.3,32.0,1,Suspicious
0,0,0,0,0,0,2,1.4,69.7,1,Normal
1,1,0,0,0,0,2,2.2,68.0,1,Normal
2,1,1,0,0,1,2,6.3,60.8,1,Suspicious
4,1,1,1,0,0,1,7.6,31.3,1,Suspicious
5,1,1,0,1,1,0,0.2,41.0,1,Attack
2,1,1,0,0,0,1,21.3,171.9,1,Attack
2,1,0,1,1,0,1,2.6,55.3,1,Attack
2,0,1,1,0,0,2,23.2,83.6,1,Normal
3,1,1,1,0,0,1,6.4,48.5,1,Suspicious
4,1,1,1,1,1,2,3.4,53.2,1,Suspicious
4,1,1,1,1,1,2,2.8,64.1,1,Suspicious
1,0,1,0,0,0,1,1.3,67.6,1,Normal
1,1,0,0,0,1,1,6.7,37.4,1,Suspicious
2,0,1,1,0,0,1,7.4,62.5,1,Suspicious
2,1,0,1,1,0,2,5.0,63.4,1,Suspicious
4,1,1,1,1,1,1,0.4,73.1,1,Attack
2,1,1,0,0,0,2,2.9,75.4,1,Normal
3,1,1,0,1,0,2,1.0,21.4,1,Suspicious
2,0,1,1,1,0,2,70.3,216.6,0,Suspicious
3,1,0,1,1,1,2,5.2,71.1,1,Suspicious
1,1,0,0,0,1,1,2.2,26.4,1,Suspicious
1,1,0,0,0,0,2,3.1,20.9,1,Normal
2,1,1,0,0,0,2,1.3,68.9,1,Normal
3,1,1,1,0,0,2,8.1,91.7,1,Suspicious
0,0,0,0,0,0,1,0.5,76.5,1,Normal
2,1,0,0,0,1,2,3.1,25.2,1,Normal
3,0,1,1,0,0,2,16.8,190.4,1,Suspicious
3,1,1,1,0,1,2,15.9,92.8,1,Suspicious
2,0,1,0,0,0,2,5.3,22.4,1,Normal
3,1,1,1,0,0,0,13.4,89.3,1,Attack
4,1,1,1,0,1,1,6.8,28.5,1,Attack
2,1,0,0,0,0,2,2.4,72.5,1,Normal
1,0,1,0,0,0,0,6.6,60.5,1,Suspicious
4,0,1,1,1,0,2,1.2,32.1,1,Suspicious
1,0,1,0,0,0,1,3.0,69.6,1,Normal
3,1,1,0,1,0,2,3.6,30.8,1,Suspicious
0,0,0,0,1,0,0,6.8,54.0,1,Suspicious
3,1,1,1,0,1,2,5.7,65.6,1,Suspicious
3,1,1,0,0,0,0,3.5,24.2,1,Suspicious
5,1,1,0,0,0,2,3.3,36.9,1,Normal
5,1,1,1,0,1,1,2.5,59.1,1,Attack
3,1,1,0,0,1,1,0.5,71.3,1,Suspicious
2,1,1,0,0,0,2,6.9,41.5,1,Normal
1,0,0,1,0,1,2,6.0,70.9,1,Normal
3,1,1,0,1,0,2,7.8,32.2,1,Suspicious
1,0,0,1,0,1,0,3.4,76.5,1,Suspicious
2,1,0,0,1,0,2,76.1,669.1,0,Attack
3,1,1,0,0,0,1,2.2,69.4,1,Suspicious
4,1,1,0,1,0,2,1.3,50.7,1,Suspicious
4,1,1,0,0,1,2,44.1,572.0,0,Attack
0,0,0,0,0,1,1,4.0,36.0,1,Normal
7,1,1,1,1,0,1,1.6,38.5,1,Attack
3,0,1,1,0,0,1,0.4,34.0,1,Suspicious
2,0,1,0,0,0,2,2.6,60.3,1,Normal
2,0,1,1,0,0,2,49.9,251.6,0,Suspicious
3,0,1,1,0,0,1,5.2,49.3,1,Suspicious
2,1,0,1,0,0,2,0.2,59.3,1,Normal
4,1,1,1,1,0,2,8.2,184.1,1,Suspicious
2,1,1,0,0,1,2,3.8,40.0,1,Suspicious
5,1,1,1,1,0,2,2.9,37.9,1,Suspicious
1,0,0,1,0,0,0,6.5,42.9,1,Suspicious
3,1,1,0,0,0,1,2.4,35.8,1,Suspicious
1,1,0,0,0,0,1,5.6,46.3,1,Suspicious
4,1,0,1,0,0,2,5.2,58.1,1,Normal
1,0,1,0,1,1,0,7.3,28.4,1,Suspicious
3,1,1,0,1,0,2,0.8,47.7,1,Suspicious
2,0,1,0,0,1,2,1.8,48.0,1,Normal
2,1,0,1,1,1,2,2.2,55.3,1,Suspicious
3,1,1,0,0,0,2,2.1,31.8,1,Normal
2,0,1,1,1,0,2,5.7,54.9,1,Suspicious
2,1,1,0,0,0,1,11.3,90.8,1,Suspicious
0,0,0,0,0,0,2,7.1,26.6,1,Normal
3,1,0,0,1,0,2,6.1,69.5,1,Suspicious
4,1,1,0,1,0,1,7.2,65.6,1,Attack
4,1,1,1,0,1,2,78.7,367.9,0,Attack
2,1,1,0,0,1,2,41.5,350.7,0,Attack
3,1,1,1,0,0,2,3.3,50.5,1,Suspicious
3,1,1,0,0,1,2,4.5,23.6,1,Suspicious
2,1,1,0,1,0,2,6.2,36.4,1,Suspicious
1,0,0,1,1,0,1,21.1,147.9,1,Suspicious
2,1,0,1,0,0,2,52.5,746.8,0,Attack
3,1,1,1,0,0,2,2.8,38.2,1,Suspicious
3,1,1,1,0,0,2,6.1,37.0,1,Suspicious
3,1,0,1,0,0,2,4.1,68.2,1,Normal
3,1,1,0,0,0,2,5.7,77.6,1,Normal
1,0,1,0,0,0,2,3.1,64.9,1,Normal
3,1,1,1,0,0,2,6.2,73.6,1,Suspicious
1,0,0,1,0,0,0,1.0,48.6,1,Suspicious
0,0,0,0,0,0,2,0.7,36.5,1,Normal
2,1,1,0,0,0,2,6.2,59.5,1,Normal
2,0,1,1,0,1,1,5.5,67.5,1,Suspicious
2,0,1,1,1,0,0,4.8,27.0,1,Suspicious
1,0,0,1,0,0,1,1.9,76.3,1,Normal
1,0,0,1,1,0,0,3.0,51.4,1,Suspicious
2,0,1,1,0,1,1,1.7,23.3,1,Suspicious
2,1,1,0,0,0,2,0.9,22.1,1,Normal
2,1,1,0,0,0,1,3.5,31.3,1,Suspicious
3,1,1,1,1,0,1,7.9,67.2,1,Attack
1,0,1,0,0,1,2,49.5,386.9,0,Suspicious
3,1,1,0,0,1,2,2.0,75.9,1,Suspicious
3,1,1,1,0,1,2,4.8,25.4,1,Suspicious
3,1,1,1,0,0,2,1.5,47.4,1,Suspicious
4,1,1,1,1,0,2,3.5,46.4,1,Suspicious
2,1,1,0,1,1,2,1.7,32.1,1,Suspicious
0,0,0,0,1,0,1,4.5,27.4,1,Suspicious
2,1,1,0,1,0,0,0.1,34.4,1,Attack
0,0,0,0,1,1,2,5.5,37.5,1,Normal
3,1,1,0,0,1,2,32.4,335.3,1,Attack
2,1,1,0,0,1,2,0.1,54.2,1,Suspicious
2,0,1,0,0,1,2,7.9,52.2,1,Normal
1,0,1,0,0,0,1,16.8,89.9,1,Suspicious
1,1,0,0,0,0,1,6.2,39.4,1,Suspicious
1,0,1,0,1,0,2,3.9,67.5,1,Normal
4,1,1,1,1,0,1,0.6,55.3,1,Attack
3,0,1,1,0,0,2,5.4,70.8,1,Normal
5,1,1,1,1,0,1,1.1,46.7,1,Attack
2,1,1,0,0,0,2,1.3,31.7,1,Normal
3,1,1,0,0,0,2,13.3,181.8,1,Suspicious
4,1,1,0,1,1,2,2.2,30.0,1,Suspicious
3,1,1,1,1,1,2,2.8,67.2,1,Suspicious
2,1,1,0,0,1,2,6.9,57.1,1,Suspicious
1,0,0,1,0,0,1,0.7,29.2,1,Normal
0,0,0,0,1,0,2,2.4,44.1,1,Normal
3,1,1,0,1,0,1,19.1,171.0,1,Attack
2,0,1,1,0,0,2,6.0,57.1,1,Normal
4,1,1,0,1,0,2,2.1,44.3,1,Suspicious
4,1,1,0,0,0,2,3.6,62.6,1,Normal
1,1,0,0,1,0,1,6.4,39.0,1,Suspicious
1,0,1,0,0,1,2,6.0,24.3,1,Normal
2,1,0,1,0,0,2,5.6,46.4,1,Normal
3,0,1,1,0,0,0,4.5,64.4,1,Suspicious
3,1,0,1,0,0,2,0.2,54.9,1,Normal
4,1,1,1,0,0,2,13.1,93.4,1,Suspicious
4,1,1,1,0,0,1,4.3,35.4,1,Suspicious
1,0,1,0,0,0,1,5.1,66.4,1,Normal
1,1,0,0,0,0,2,3.4,35.6,1,Normal
4,1,0,1,0,0,1,5.2,72.5,1,Suspicious
4,1,1,1,0,0,2,1.2,77.0,1,Suspicious
1,0,0,1,1,1,1,2.7,79.9,1,Suspicious
2,1,1,0,1,0,1,0.6,40.9,1,Attack
4,1,1,1,0,0,2,6.4,48.8,1,Suspicious
2,0,1,1,0,0,1,7.3,64.0,1,Suspicious
4,1,1,1,0,0,2,0.7,67.0,1,Suspicious
2,1,0,1,1,1,2,2.7,32.5,1,Suspicious
3,1,1,0,1,0,1,7.1,78.1,1,Attack
1,1,0,0,0,0,2,3.9,77.3,1,Normal
1,0,1,0,0,1,1,22.0,82.7,1,Suspicious
2,1,1,0,0,0,2,7.1,79.3,1,Normal
3,1,0,1,0,0,1,47.3,370.1,0,Attack
3,0,1,1,0,0,2,1.0,52.8,1,Normal
3,1,1,0,0,1,1,3.7,45.7,1,Suspicious
1,0,1,0,0,0,2,7.9,36.9,1,Normal
2,0,1,0,0,0,2,25.3,190.4,1,Normal
1,0,1,0,0,0,2,0.2,72.6,1,Normal
3,1,1,0,1,0,2,6.1,58.6,1,Suspicious
2,1,0,1,1,0,2,5.8,67.1,1,Suspicious
1,0,1,0,0,1,1,5.7,36.7,1,Normal
3,1,1,0,1,0,2,5.5,50.8,1,Suspicious
3,0,1,1,0,0,0,4.6,62.2,1,Suspicious
3,1,1,1,0,1,2,66.4,531.9,0,Attack
1,1,0,0,1,0,1,4.3,42.7,1,Suspicious
0,0,0,0,0,0,1,4.5,49.9,1,Normal
1,0,0,1,1,0,2,0.7,26.6,1,Normal
5,1,1,1,1,0,2,76.4,265.2,0,Attack
4,1,1,0,1,1,0,28.8,110.9,1,Attack
4,1,1,1,0,0,2,8.0,31.0,1,Suspicious
4,1,1,0,1,0,2,0.4,46.1,1,Suspicious
3,1,0,1,0,1,0,3.1,77.1,1,Attack
3,1,1,0,1,0,2,7.4,23.8,1,Suspicious
1,0,0,1,0,0,2,1.8,39.1,1,Normal
4,1,1,1,1,0,2,2.4,63.9,1,Suspicious
1,0,1,0,0,0,2,3.8,35.2,1,Normal
0,0,0,0,1,0,1,6.7,61.9,1,Suspicious
1,0,1,0,0,0,2,26.6,193.5,1,Normal
3,1,0,0,0,0,2,0.3,26.8,1,Normal
5,1,1,1,0,0,2,6.6,48.4,1,Suspicious
1,0,1,0,0,1,2,4.2,39.6,1,Normal
3,1,1,1,0,1,2,5.7,55.2,1,Suspicious
0,0,0,0,1,1,2,6.8,54.3,1,Normal
2,0,1,1,0,0,0,0.4,64.9,1,Suspicious
2,1,1,0,1,0,1,4.7,45.0,1,Attack
0,0,0,0,0,0,0,25.0,119.9,1,Suspicious
3,1,1,0,0,0,1,6.2,27.6,1,Suspicious
3,1,1,1,0,0,2,6.5,56.4,1,Suspicious
3,1,1,1,0,1,1,0.0,71.0,1,Attack
2,1,1,0,1,0,2,4.7,24.9,1,Suspicious
4,1,1,1,0,0,2,5.2,70.1,1,Suspicious
4,0,1,1,0,0,1,3.4,67.4,1,Suspicious
1,0,0,1,0,0,1,26.6,106.1,1,Suspicious
1,0,1,0,0,0,0,14.5,86.3,1,Suspicious
2,0,1,1,1,1,2,4.6,58.6,1,Suspicious
2,0,1,1,0,0,0,5.7,42.2,1,Suspicious
1,0,1,0,1,1,2,0.0,35.4,1,Suspicious
2,1,1,0,1,0,2,3.2,49.0,1,Suspicious
5,1,1,0,0,0,2,48.7,545.7,0,Attack
3,1,1,0,1,1,2,18.7,111.5,1,Suspicious
4,1,1,0,0,1,2,5.7,58.6,1,Suspicious
2,0,1,1,1,1,1,6.6,66.4,1,Suspicious
2,0,1,0,1,0,2,4.6,37.2,1,Normal
1,1,0,0,0,1,0,0.1,33.2,1,Suspicious
1,1,0,0,0,0,2,3.4,30.5,1,Normal
3,1,1,1,0,0,2,7.1,76.2,1,Suspicious
4,1,1,0,1,0,1,1.9,59.8,1,Attack
2,1,1,0,0,1,2,18.4,99.1,1,Suspicious
2,1,0,1,0,1,2,7.8,56.2,1,Suspicious
3,1,1,1,0,0,2,1.0,36.9,1,Suspicious
2,1,1,0,1,0,2,5.7,63.6,1,Suspicious
4,1,1,0,0,0,1,0.8,73.3,1,Suspicious
1,0,0,1,1,1,1,0.2,46.1,1,Suspicious
2,0,1,1,1,0,2,17.0,155.3,1,Suspicious
1,0,0,1,0,0,0,1.8,54.9,1,Suspicious
1,0,1,0,1,0,2,3.8,25.4,1,Normal
2,0,1,1,0,1,2,0.0,66.6,1,Normal
3,1,1,0,0,0,2,0.6,27.9,1,Normal
1,1,0,0,0,1,0,4.9,72.9,1,Suspicious
3,0,1,1,1,0,2,0.9,28.2,1,Suspicious
1,1,0,0,1,0,2,7.6,41.7,1,Suspicious
3,1,1,0,0,1,2,35.0,242.5,1,Attack
0,0,0,0,0,0,2,0.5,73.8,1,Normal
2,0,1,0,0,0,2,1.5,49.9,1,Normal
1,0,1,0,1,0,2,0.2,72.0,1,Normal
3,0,1,1,1,0,2,3.5,57.5,1,Suspicious
2,0,1,1,1,0,2,0.1,55.6,1,Suspicious
3,1,1,1,0,0,0,5.3,27.9,1,Attack
1,0,1,0,0,0,2,3.6,23.7,1,Normal
3,1,1,1,0,0,2,3.4,25.7,1,Suspicious
4,1,1,1,0,0,0,1.8,34.2,1,Attack
2,0,1,0,0,0,2,6.1,79.4,1,Normal
3,1,1,0,1,1,2,14.6,93.0,1,Suspicious
1,1,0,0,1,1,1,6.5,25.0,1,Attack
2,0,1,0,0,0,2,0.6,26.1,1,Normal
1,0,0,1,0,0,2,19.9,130.9,1,Normal
2,0,1,0,0,0,0,7.9,26.8,1,Suspicious
3,1,1,0,0,1,2,4.9,21.1,1,Suspicious
4,1,1,1,1,1,2,1.6,49.4,1,Suspicious
3,1,1,1,0,0,2,4.2,56.3,1,Suspicious
2,1,1,0,1,0,2,25.9,106.7,1,Suspicious
4,1,1,1,0,0,2,7.9,51.6,1,Suspicious
3,0,1,1,0,0,2,7.1,68.0,1,Normal
2,1,0,1,1,1,1,3.5,26.8,1,Attack
4,1,1,1,0,0,0,1.0,74.8,1,Attack
2,0,1,1,0,1,1,0.9,70.8,1,Suspicious
0,0,0,0,1,0,0,1.9,37.6,1,Suspicious
1,1,0,0,0,0,2,4.2,43.6,1,Normal
2,1,1,0,0,1,2,1.2,70.2,1,Suspicious
5,1,1,1,0,0,1,4.6,63.9,1,Suspicious
2,1,1,0,0,0,1,4.1,33.3,1,Suspicious
1,0,1,0,0,0,0,11.5,123.2,1,Suspicious
2,0,1,1,1,0,2,2.0,59.4,1,Suspicious
1,0,0,1,0,0,0,0.8,61.6,1,Suspicious
2,1,0,1,0,0,2,38.5,502.1,0,Attack
4,0,1,1,0,0,2,6.8,78.7,1,Normal
2,0,1,0,0,0,1,7.2,44.5,1,Normal
2,0,1,0,0,0,0,3.4,70.7,1,Suspicious
3,1,1,0,0,0,2,3.5,34.3,1,Normal
4,0,1,1,0,1,2,1.0,56.1,1,Normal
4,1,1,1,1,0,2,5.9,71.9,1,Suspicious
1,0,1,0,1,1,2,6.4,40.8,1,Suspicious
5,1,1,1,1,0,2,11.6,146.4,1,Suspicious
3,1,0,1,0,0,1,7.8,28.8,1,Suspicious
4,1,1,1,1,0,2,2.1,43.9,1,Suspicious
2,0,1,0,0,0,2,3.9,76.5,1,Normal
4,1,1,1,1,1,2,75.0,666.2,0,Attack
6,1,1,1,0,0,2,0.2,70.0,1,Suspicious
0,0,0,0,1,1,2,4.0,43.4,1,Normal
1,1,0,0,1,0,2,4.8,25.1,1,Suspicious
4,1,1,1,0,0,0,4.9,21.1,1,Attack
2,0,1,1,0,0,1,3.9,63.7,1,Suspicious
2,1,1,0,1,0,2,3.9,29.0,1,Suspicious
2,1,1,0,0,0,1,56.5,311.9,0,Attack
1,1,0,0,1,1,2,2.7,75.7,1,Suspicious
0,0,0,0,0,0,2,7.5,63.0,1,Normal
2,1,0,0,0,0,1,4.7,50.8,1,Suspicious
3,1,1,0,0,1,2,0.2,32.9,1,Suspicious
0,0,0,0,0,1,2,5.9,46.4,1,Normal
3,1,1,0,1,0,2,28.3,183.2,1,Suspicious
3,1,1,0,0,1,2,3.5,46.7,1,Suspicious
2,0,1,1,0,1,2,56.9,638.9,0,Attack
1,1,0,0,0,0,0,2.2,57.4,1,Suspicious
2,1,0,0,1,0,2,17.6,170.8,1,Suspicious
3,1,1,1,0,0,2,1.9,44.9,1,Suspicious
2,1,1,0,0,1,2,13.7,152.3,1,Suspicious
3,1,0,0,1,1,2,6.3,55.7,1,Suspicious
4,1,1,0,0,1,1,35.6,435.8,1,Attack
2,0,1,0,0,0,1,5.4,26.0,1,Normal
0,0,0,0,0,1,2,5.7,70.9,1,Normal
3,1,1,0,1,0,1,0.3,42.4,1,Attack
4,1,1,1,0,0,2,7.7,63.0,1,Suspicious
3,0,1,1,1,1,2,24.7,186.1,1,Suspicious
2,1,1,0,1,0,2,6.3,42.6,1,Suspicious
2,1,1,0,1,0,1,22.6,195.7,1,Attack
2,1,1,0,0,0,0,66.2,644.9,0,Attack
